Date,BSE_Code,BSE_Volume,BSE_Delivery,Price,PrevClose,Segment,Traded_Value_lacs
230120,511626,3788,3788,13.0,12.95,XT,0.49
230120,511628,28761,25598,269.35,257.05,X ,68.95
230120,511630,19342,18888,3.76,3.84,B ,0.71
230120,511654,26,26,15.15,14.45,X ,0.0
230120,511658,12646,2347,101.45,100.85,X ,2.38
230120,511672,6785,4176,38.7,39.45,X ,1.62
230120,511676,25334,7949,208.7,212.55,B ,16.59
230120,511688,685,518,6.8,6.8,X ,0.04
230120,511692,439,431,33.8,34.25,X ,0.15
230120,511700,58721,58721,42.8,40.8,XT,25.13
230120,511702,1000,1000,24.65,25.9,XT,0.25
230120,511710,15823,15764,1.7,1.69,X ,0.27
230120,511712,16002,15391,20.2,21.25,X ,3.11
230120,511714,1927,1897,41.3,40.75,X ,0.78
230120,511724,303445,157211,29.45,29.55,B ,46.3
230120,511726,9478,9478,17.85,17.0,T ,1.69
230120,511736,80737,66474,1.68,1.72,X ,1.12
230120,511738,104,104,22.5,23.1,XT,0.02
230120,511742,7638,5144,152.4,152.35,B ,7.84
230120,511754,315,265,168.3,167.5,X ,0.45
230120,511756,31684,31684,30.49,29.04,Z ,9.66
230120,511758,165,165,28.5,27.45,XT,0.05
230120,511760,447568,297759,0.67,0.66,X ,1.99
230120,511764,1443,1443,28.33,26.99,X ,0.41
230120,511766,718,642,267.45,262.35,B ,1.72
230120,511768,1519,1518,124.0,123.35,X ,1.88
230120,512008,250,250,667.4,635.65,XT,1.67
230120,512018,62136,41054,2.73,2.74,X ,1.12
230120,512020,46,32,3000.0,2998.45,X ,0.96
230120,512024,1,1,45.0,45.0,X ,0.0
230120,512047,3059,2059,2.4,2.41,X ,0.05
230120,512048,104253,104253,5.42,5.7,X ,5.65
230120,512068,19971,19971,41.65,42.1,XT,8.32
230120,512070,25281,13856,738.3,747.15,A ,102.3
230120,512093,159312,158451,3.46,3.55,X ,5.48
230120,512097,1024901,475366,0.55,0.54,X ,2.61
230120,512099,45,45,34.4,32.8,XT,0.02
230120,512103,50,50,61.35,61.35,X ,0.03
230120,512109,100,100,28.55,28.0,X ,0.03
230120,512115,1729,1729,31.7,30.2,X ,0.55
230120,512131,3106,2633,38.8,39.0,B ,1.02
230120,512161,6056,3814,57.85,58.85,B ,2.21
230120,512165,6162,6162,173.25,165.0,XT,10.68
230120,512175,51914,41815,6.36,6.39,X ,2.66
230120,512179,22126,2184,366.35,367.0,A ,8.0
230120,512197,29832,29832,3.3,3.41,Z ,0.98
230120,512217,140917,140917,37.8,36.0,XT,53.27
230120,512229,34214,34214,271.65,266.35,XT,92.94
230120,512237,44035,18378,140.8,142.25,A ,25.88
230120,512247,59383,40623,6.04,6.21,X ,2.45
230120,512257,176074,161211,2.68,2.75,X ,4.32
230120,512267,47613,32977,12.55,12.43,B ,4.14
230120,512279,51,51,9.98,9.98,Z ,0.01
230120,512296,5455,4786,48.0,48.9,B ,2.3
230120,512301,14160,11960,3.24,3.4,X ,0.39
230120,512329,51,51,418.0,422.0,XT,0.21
230120,512344,4178,4178,4.46,4.69,XT,0.19
230120,512359,1267244,842765,0.5,0.51,X ,4.21
230120,512379,448573,448573,31.15,31.2,T ,139.73
230120,512381,21110,10108,135.8,137.8,B ,13.73
230120,512393,653,653,101.0,101.25,X ,0.66
230120,512399,1129,1129,270.3,267.6,XT,3.05
230120,512425,90,57,460.0,450.0,X ,0.26
230120,512437,997,733,490.8,493.15,X ,3.6
230120,512441,20231,20231,44.8,46.65,XT,9.06
230120,512453,910,733,724.45,720.15,X ,5.31
230120,512455,162088,118030,276.5,282.5,A ,326.35
230120,512463,1474992,1012923,8.39,8.36,X ,84.98
230120,512477,171,156,72.3,69.25,X ,0.11
230120,512481,12287,12287,3.65,3.8,XT,0.45
230120,512485,2,2,49.5,52.0,X ,0.0
230120,512489,1988,1611,76.0,75.95,X ,1.22
230120,512493,71386,71386,78.45,82.25,XT,56.0
230120,512499,4260160,3407727,0.5,0.49,X ,17.04
230120,512519,39452,26924,102.8,105.75,B ,27.68
230120,512527,77,65,798.2,805.7,X ,0.52
230120,512529,118602,31508,85.45,86.6,A ,26.92
230120,512531,1208,816,87.75,88.2,B ,0.72
230120,512553,3285,1828,92.65,88.25,B ,1.69
230120,512559,294677,72275,73.3,73.1,B ,52.98
230120,512565,1313,1213,20.3,21.35,X ,0.25
230120,512573,4663,2279,386.8,385.95,A ,8.82
230120,512587,193,114,35.5,36.5,X ,0.04
230120,512589,3263,2186,17.6,17.75,X ,0.38
230120,512591,50,50,7.5,7.15,XT,0.0
230120,512597,840,560,108.1,102.55,B ,0.61
230120,512599,40698,5735,3456.4,3461.6,A ,198.22
230120,512604,32098,30867,5.5,4.76,X ,1.7
230120,512608,70711,54761,5.48,5.52,B ,3.0
230120,512618,18729,18729,7.99,7.7,XT,1.5
230120,512624,110389,110389,3.98,4.02,XT,4.39
230120,512626,1379,939,157.0,152.3,B ,1.47
230120,512634,1892,1803,73.65,73.5,X ,1.33
230120,513005,4547,4547,57.0,55.85,XT,2.59
230120,513010,10717,7913,726.8,727.45,A ,57.51
230120,513023,30943,9860,242.4,242.15,A ,23.9
230120,513043,91,91,48.85,48.85,X ,0.04
230120,513059,15366,15366,15.2,15.6,XT,2.34
230120,513063,551,551,20.85,21.9,XT,0.11
230120,513097,1318,507,393.4,386.95,B ,1.99
