Date,BSE_Code,BSE_Volume,BSE_Delivery,Price,PrevClose,Traded_Value_lacs,Segment
230210,532376,4575,3463,64.3,64.0,2.23,B 
230210,532379,627,627,6.32,6.64,0.04,XT
230210,532380,1410,1340,15.65,15.65,0.21,X 
230210,532382,90488,63394,47.7,41.75,30.24,B 
230210,532384,2335,1865,123.15,124.1,2.3,X 
230210,532386,26122,25109,17.85,17.85,4.48,B 
230210,532387,1626,491,38.15,38.75,0.19,B 
230210,532388,4754445,460394,27.25,27.15,125.46,A 
230210,532390,20910,14027,182.6,184.6,25.61,B 
230210,532392,3034,2084,4.49,4.0,0.09,B 
230210,532395,21401,8716,352.9,336.1,30.76,B 
230210,532397,7,7,7.79,7.43,0.0,X 
230210,532398,5470,4244,4.39,4.29,0.19,B 
230210,532400,204764,57848,292.35,288.45,169.12,A 
230210,532402,34728,24515,5.94,5.74,1.46,X 
230210,532404,39527,28458,42.65,40.95,12.14,X 
230210,532406,7126,4628,395.9,400.25,18.32,X 
230210,532407,83494,59912,61.75,61.25,37.0,X 
230210,532408,39982,18885,29.7,31.8,5.61,B 
230210,532410,1092,1026,32.9,32.9,0.34,X 
230210,532411,4889238,4889238,0.52,0.51,25.42,T 
230210,532413,99335,86284,10.82,10.31,9.34,B 
230210,532416,6068,6068,5.6,5.69,0.34,T 
230210,532419,2820,1766,140.7,142.3,2.48,B 
230210,532424,20460,13966,940.25,940.95,131.32,A 
230210,532425,1673,1673,11.65,11.86,0.19,XT
230210,532430,102257,13897,393.9,373.3,54.74,B 
230210,532432,9208,3758,780.0,791.75,29.31,A 
230210,532435,112701,56432,71.55,69.0,40.38,X 
230210,532439,5189,2388,465.55,464.45,11.12,A 
230210,532440,6349,4392,1079.25,1095.15,47.4,B 
230210,532441,1234,1234,3.94,3.8,0.05,Z 
230210,532443,1800,1262,6022.95,5968.35,76.01,A 
230210,532454,41671,16923,770.55,766.55,130.4,A 
230210,532455,1038,697,11.95,11.95,0.08,X 
230210,532456,39621,33108,18.0,17.85,5.96,B 
230210,532457,3141,2457,236.0,237.95,5.8,B 
230210,532459,667,436,84.1,82.0,0.37,X 
230210,532460,9444,5182,466.1,454.2,24.15,B 
230210,532461,4701556,750097,51.25,51.05,384.42,A 
230210,532466,1425,773,3175.7,3189.05,24.55,A 
230210,532467,33959,28602,97.05,99.8,27.76,X 
230210,532468,963,920,12467.85,12533.1,114.7,A 
230210,532475,10698,2686,356.4,367.75,9.57,B 
230210,532477,1396178,319656,73.5,72.55,234.95,A 
230210,532478,19320,3656,1479.75,1549.25,54.1,A 
230210,532479,175277,15822,65.85,67.45,10.42,B 
230210,532481,5787,5769,7.02,7.09,0.4,B 
230210,532482,108939,12593,288.85,289.5,36.37,A 
230210,532483,282632,74498,293.85,293.05,218.91,A 
230210,532485,10862,7080,362.7,362.25,25.68,B 
230210,532486,1002,412,395.85,386.6,1.63,B 
230210,532488,52038,39195,2810.85,2823.4,1101.71,A 
230210,532493,101399,24311,270.6,280.45,65.79,A 
230210,532497,10584,5037,1140.65,1115.45,57.45,A 
230210,532500,10436,3747,8814.25,8802.1,330.27,A 
230210,532503,1213,1022,630.0,634.0,6.44,X 
230210,532504,11095,5264,4343.75,4197.55,228.66,A 
230210,532505,4914432,945582,28.15,27.6,266.18,A 
230210,532507,19556,9139,4.47,4.5,0.41,B 
230210,532508,37311,26076,257.0,261.95,67.02,A 
230210,532509,7514,4921,332.95,333.45,16.38,A 
230210,532513,23890,5474,395.45,391.7,21.65,B 
230210,532514,35374,16958,442.15,432.85,74.98,B 
230210,532515,307738,154350,308.35,308.95,475.94,B 
230210,532521,3174,2162,159.2,157.6,3.44,B 
230210,532522,52671,36092,221.9,223.85,80.09,A 
230210,532523,1317948,1175674,242.45,243.15,2850.42,A 
230210,532524,87153,36056,93.4,93.0,33.68,B 
230210,532525,1053331,261479,28.25,27.75,73.87,A 
230210,532527,70423,32665,271.1,264.45,88.55,A 
230210,532528,17196,8580,301.75,305.3,25.89,B 
230210,532529,81127,30052,208.65,216.55,62.7,B 
230210,532531,5014,870,298.7,299.55,2.6,A 
230210,532532,899281,328175,9.43,9.45,30.95,A 
230210,532538,63886,60668,7195.7,7175.1,4365.49,A 
230210,532539,47537,21919,532.2,526.55,116.65,A 
230210,532540,48411,27721,3535.45,3541.15,980.06,A 
230210,532541,6201,1885,4330.2,4341.65,81.62,A 
230210,532543,5153,3607,38.25,38.45,1.38,B 
230210,532548,6486,4681,506.4,512.75,23.7,A 
230210,532553,50897,26899,150.9,149.0,40.59,B 
230210,532555,191363,93333,165.05,166.0,154.05,A 
230210,532604,78872,58155,16.85,16.55,9.8,B 
230210,532605,87812,29059,538.65,486.05,156.53,A 
230210,532610,83406,21077,91.6,88.55,19.31,A 
230210,532612,33466,10880,365.05,331.85,39.72,B 
230210,532613,49585,22127,44.4,43.15,9.82,B 
230210,532614,24148,24148,3.52,3.61,0.85,T 
230210,532616,9147,5865,63.9,63.5,3.75,B 
230210,532617,20627,20627,71.6,69.4,14.77,Z 
230210,532621,3417,3354,20.45,20.65,0.69,B 
230210,532624,194,178,303.55,305.45,0.54,B 
230210,532626,8797,5761,324.7,326.2,18.71,X 
230210,532627,5439687,1999277,7.07,7.05,141.35,A 
230210,532628,58286,43168,36.55,36.95,15.78,B 
230210,532630,19783,4011,371.4,363.95,14.9,A 
230210,532633,2871,2505,502.65,510.1,12.59,B 
230210,532636,39811,25611,471.55,479.5,120.77,A 
230210,532637,27685,2557,118.55,115.5,3.03,B 
230210,532638,572,160,672.9,665.6,1.08,A 
230210,532640,60683,47101,22.4,19.0,10.55,B 
230210,532641,281768,272185,21.65,22.5,58.93,B 
230210,532642,53,43,3998.2,4060.0,1.72,B 
230210,532644,8507,1427,2803.85,2771.65,40.01,A 
230210,532645,6342,6342,2.58,2.46,0.16,XT
230210,532648,13299838,5794357,17.05,16.85,987.94,A 
230210,532649,21662,15446,19.0,19.45,2.93,B 
230210,532650,47238,40187,8.97,9.03,3.6,B 
230210,532651,107373,58081,76.6,66.55,44.49,B 
230210,532652,152368,77246,144.65,145.4,111.74,A 
230210,532654,172169,112305,22.9,23.2,25.72,B 
230210,532656,429077,297576,7.93,8.25,23.6,X 
230210,532659,2527217,1329995,90.85,91.1,1208.3,A 
230210,532661,17075,6452,482.9,452.7,31.16,B 
