Date,NSE_Code,NSE_Volume,NSE_Delivery,Price,PrevClose,Traded_Value_lacs,Segment
230210,20MICRONS,50165.0,29558.0,76.55,77.35,22.63,EQ
230210,21STCENMGM,6132.0,3820.0,20.35,20.75,0.78,EQ
230210,360ONE,30977.0,17560.0,1856.95,1824.65,326.08,EQ
230210,3IINFOLTD,180288.0,129094.0,36.7,36.95,47.38,EQ
230210,3MINDIA,2825.0,1235.0,23420.35,23528.35,289.24,EQ
230210,3PLAND,9471.0,9471.0,20.1,19.15,1.9,EQ
230210,5PAISA,7251.0,3750.0,294.9,295.55,11.06,EQ
230210,63MOONS,321128.0,96898.0,198.7,192.85,192.54,EQ
230210,A2ZINFRA,188392.0,86672.0,8.4,8.2,7.28,EQ
230210,AAATECH,12825.0,8127.0,64.25,64.15,5.22,EQ
230210,AAKASH,255890.0,214946.0,6.6,6.45,14.19,EQ
230210,AAREYDRUGS,21091.0,17352.0,33.3,33.75,5.78,EQ
230210,AARON,3642.0,1909.0,179.15,178.8,3.42,EQ
230210,AARTIDRUGS,193906.0,74362.0,382.5,380.85,284.43,EQ
230210,AARTIIND,764153.0,239300.0,543.8,540.55,1301.31,EQ
230210,AARTISURF,408088.0,38684.0,543.05,517.6,210.07,EQ
230210,AARVEEDEN,5523.0,3459.0,24.65,24.4,0.85,EQ
230210,AARVI,5054.0,3540.0,160.45,162.25,5.68,EQ
230210,AAVAS,89780.0,70862.0,2023.3,1995.45,1433.75,EQ
230210,ABAN,77453.0,27926.0,42.7,42.55,11.92,EQ
230210,ABB,300374.0,107970.0,3166.3,3128.05,3418.65,EQ
230210,ABBOTINDIA,31782.0,4040.0,20741.1,20846.2,837.94,EQ
230210,ABCAPITAL,1013926.0,302109.0,146.7,147.1,443.19,EQ
230210,ABFRL,1557281.0,385879.0,254.7,256.3,982.83,EQ
230210,ABSLAMC,51985.0,40988.0,401.8,404.95,164.69,EQ
230210,ABSLBANETF,25314.0,23120.0,41.67,41.53,9.63,EQ
230210,ABSLNN50ET,8464.0,5914.0,40.33,39.2,2.39,EQ
230210,ACC,1157601.0,368399.0,1880.4,1916.0,6927.37,EQ
230210,ACCELYA,17739.0,10242.0,1231.25,1254.15,126.1,EQ
230210,ACCURACY,8306.0,3893.0,174.2,176.0,6.78,EQ
230210,ACE,556982.0,209534.0,369.9,382.7,775.07,EQ
230210,ACEINTEG,53310.0,28504.0,63.25,74.0,18.03,EQ
230210,ACI,354949.0,150396.0,645.2,624.95,970.35,EQ
230210,ADANIENT,11334878.0,1217995.0,1846.95,1925.7,22495.76,EQ
230210,ADANIGREEN,2074917.0,1123437.0,724.25,762.35,8136.49,EQ
230210,ADANIPORTS,12527188.0,2098694.0,583.95,582.3,12255.32,EQ
230210,ADANIPOWER,2082042.0,2079041.0,164.2,172.8,3413.79,EQ
230210,ADANITRANS,84888.0,84888.0,1186.65,1249.1,1007.32,EQ
230210,ADFFOODS,4702.0,1806.0,743.95,742.5,13.44,EQ
230210,ADORWELD,10920.0,5854.0,849.9,848.85,49.75,EQ
230210,ADROITINFO,59600.0,39168.0,22.4,21.6,8.77,EQ
230210,ADSL,744836.0,348936.0,106.6,102.25,371.97,EQ
230210,ADVANIHOTR,74821.0,47607.0,79.95,79.75,38.06,EQ
230210,ADVENZYMES,49304.0,26611.0,280.5,277.15,74.64,EQ
230210,AEGISCHEM,263903.0,116970.0,354.85,352.55,415.07,EQ
230210,AETHER,19639.0,13433.0,898.85,899.25,120.74,EQ
230210,AFFLE,158751.0,98656.0,1049.05,1043.6,1034.95,EQ
