Date,Company Name,NSE_Code,BSE_Code,Total_Volume,Total_Delivery,Price,PrevClose,Total_Traded_Value,NSE_Volume,NSE_Delivery,BSE_Volume,BSE_Delivery,Segment
230210,Agni Green Power Ltd.,AGNI,,20000,20000,23.5,23.1,4.7,20000.0,20000.0,0.0,0.0,SM
230210,Ahimsa Industries Ltd.,AHIMSA,,30000,24000,11.6,11.95,2.784,30000.0,24000.0,0.0,0.0,SM
230210,Abhishek Integrations Ltd.,AILIMITED,,6000,6000,36.45,35.0,2.1870000000000003,6000.0,6000.0,0.0,0.0,SM
230210,All E Technologies Ltd.,ALLETEC,,72000,57600,117.15,113.9,67.4784,72000.0,57600.0,0.0,0.0,SM
230210,Ameya Precision Engineers Ltd.,AMEYA,,4000,4000,41.55,42.45,1.662,4000.0,4000.0,0.0,0.0,SM
230210,Amiable Logistics (India) Ltd.,AMIABLE,,1600,1600,90.0,89.1,1.44,1600.0,1600.0,0.0,0.0,SM
230210,Anlon Technology Solution Ltd.,ANLON,,33600,25200,180.1,184.4,45.3852,33600.0,25200.0,0.0,0.0,SM
230210,Annapurna Swadisht Ltd.,ANNAPURNA,,6000,6000,139.0,140.65,8.34,6000.0,6000.0,0.0,0.0,SM
230210,Arham Technologies Ltd.,ARHAM,,6000,3000,67.2,67.5,2.016,6000.0,3000.0,0.0,0.0,SM
230210,Arihant Academy Ltd.,ARIHANTACA,,19200,16000,135.2,136.35,21.632,19200.0,16000.0,0.0,0.0,SM
230210,Aristo Bio-Tech and Lifescienc,ARISTO,,56000,52800,81.1,77.25,42.8208,56000.0,52800.0,0.0,0.0,ST
230210,Ascom Leasing & Investments Lt,ASCOM,,1000,1000,360.0,353.85,3.6,1000.0,1000.0,0.0,0.0,SM
230210,Baheti Recycling Industries Lt,BAHETI,,15000,15000,110.0,107.75,16.5,15000.0,15000.0,0.0,0.0,SM
230210,Beta Drugs Ltd.,BETA,,600,600,636.0,637.35,3.816,600.0,600.0,0.0,0.0,SM
230210,Bombay Metrics Supply Chain Lt,BMETRICS,,5600,3200,430.0,437.95,13.76,5600.0,3200.0,0.0,0.0,SM
230210,Bright Solar Ltd.,BRIGHT,,465000,345000,7.1,7.45,24.495,465000.0,345000.0,0.0,0.0,SM
230210,Cadsys India Ltd.,CADSYS,,4000,4000,43.35,41.3,1.734,4000.0,4000.0,0.0,0.0,SM
230210,Varanium Cloud Ltd.,CLOUD,,3000,3000,1417.9,1417.0,42.537,3000.0,3000.0,0.0,0.0,SM
230210,CMM Infraprojects Ltd.,CMMIPL,,12000,9000,5.35,5.4,0.4815,12000.0,9000.0,0.0,0.0,ST
230210,Chaman Metallics Ltd.,CMNL,,87000,63000,57.55,55.55,36.2565,87000.0,63000.0,0.0,0.0,SM
230210,Continental Seeds and Chemical,CONTI,,3333,3333,23.3,24.5,0.7765890000000001,3333.0,3333.0,0.0,0.0,SM
230210,Cool Caps Industries Ltd.,COOLCAPS,,3000,3000,500.0,490.0,15.0,3000.0,3000.0,0.0,0.0,SM
230210,Destiny Logistics & Infra Ltd.,DESTINY,,90000,84000,13.95,14.65,11.718,90000.0,84000.0,0.0,0.0,SM
230210,Dollex Agrotech Ltd.,DOLLEX,,8000,8000,32.5,33.8,2.6,8000.0,8000.0,0.0,0.0,SM
230210,Ducol Organics & Colours Ltd.,DUCOL,,16000,14400,111.05,112.05,15.9912,16000.0,14400.0,0.0,0.0,SM
230210,DU Digital Global Ltd.,DUGLOBAL,,10000,7500,119.05,125.2,8.92875,10000.0,7500.0,0.0,0.0,SM
230210,Dynamic Services & Security Lt,DYNAMIC,,8000,4000,19.65,19.3,0.786,8000.0,4000.0,0.0,0.0,SM
230210,Emkay Taps And Cutting Tools L,EMKAYTOOLS,,600,600,285.0,290.0,1.71,600.0,600.0,0.0,0.0,SM
230210,Euro Panel Products Ltd.,EUROBOND,,2000,2000,114.5,114.9,2.29,2000.0,2000.0,0.0,0.0,SM
230210,Felix Industries Ltd.,FELIX,,8000,8000,122.0,124.0,9.76,8000.0,8000.0,0.0,0.0,SM
