Date,Company Name,NSE_Code,BSE_Code,Total_Volume,Total_Delivery,Price,PrevClose,Total_Traded_Value,NSE_Volume,NSE_Delivery,BSE_Volume,BSE_Delivery,Segment
231020,Suzlon Energy Ltd.,SUZLON,532667,383053231,"    383,053,231",       32.50,       31.60,"        124,492.30",373269936.0,373269936.0,9783295.0,9783295.0,BE
231020,Zomato Ltd.,ZOMATO,543320,68933445,"     29,890,321",      113.35,      111.65,"         33,880.68",64427436.0,28006387.0,4506009.0,1883934.0,EQ
231020,Supreme Industries Ltd.,SUPREMEIND,509930,1386211,"        662,284","    4,713.90","    4,645.75","         31,219.41",1371567.0,657802.0,14644.0,4482.0,EQ
231020,One97 Communications Ltd.,PAYTM,543396,6137021,"      2,830,669",      987.65,      968.45,"         27,957.10",5799353.0,2711837.0,337668.0,118832.0,EQ
231020,MTAR Technologies Ltd.,MTARTECH,543270,1728051,"        896,783","    2,732.05","    2,633.70","         24,500.56",1712274.0,888579.0,15777.0,8204.0,EQ
231020,SJVN Ltd.,SJVN,533206,58424678,"     29,572,913",       75.35,       74.90,"         22,283.19",55365013.0,28218765.0,3059665.0,1354148.0,EQ
231020,NBCC (India) Ltd.,NBCC,534309,170495316,"     31,544,907",       68.50,       70.75,"         21,608.26",158772161.0,29032493.0,11723155.0,2512414.0,EQ
231020,JIO Financial Services,JIOFIN,543940,12598190,"      7,391,588",      214.20,      214.20,"         15,832.78",11101464.0,6562815.0,1496726.0,828773.0,EQ
231020,Natco Pharma Ltd.,NATCOPHARM,524816,2040549,"      1,902,456",      822.05,      833.75,"         15,639.14",1142328.0,1013030.0,898221.0,889426.0,EQ
231020,Motherson Sumi Wiring India Lt,MSUMI,543498,23811017,"     22,578,034",       63.05,       63.85,"         14,235.45",2397164.0,1211291.0,21413853.0,21366743.0,EQ
231020,,LIQUIDBEES,,1679118,"      1,321,616","    1,000.00",      999.99,"         13,216.16",1679118.0,1321616.0,0.0,0.0,EQ
231020,Yes Bank Ltd.,YESBANK,532648,305691947,"     75,836,279",       17.30,       17.05,"         13,119.68",242605105.0,57964428.0,63086842.0,17871851.0,EQ
231020,Angel One Ltd.,ANGELONE,543235,3569282,"        555,918","    2,343.45","    2,200.45","         13,027.66",3406239.0,522236.0,163043.0,33682.0,EQ
231020,Ajanta Pharma Ltd.,AJANTPHARM,532331,771559,"        728,858","    1,753.50","    1,771.95","         12,780.53",109201.0,67240.0,662358.0,661618.0,EQ
231020,Avenue Supermarts Ltd.,DMART,540376,412403,"        339,135","    3,749.50","    3,766.85","         12,715.87",200038.0,130347.0,212365.0,208788.0,EQ
231020,NMDC Steel Ltd.,NSLNISP,543768,55135115,"     27,254,635",       43.90,       49.85,"         11,964.78",49967612.0,25126445.0,5167503.0,2128190.0,EQ
231020,MMTC Ltd.,MMTC,513377,61387591,"     18,311,583",       63.55,       70.60,"         11,637.01",54655222.0,15922555.0,6732369.0,2389028.0,EQ
231020,BSE Ltd.,BSE,,1817548,"        732,268","    1,587.80","    1,537.60","         11,626.95",1817548.0,732268.0,0.0,0.0,EQ
231020,Titagarh Railsystems Ltd.,TITAGARH,532966,5768969,"      1,372,663",      844.20,      795.20,"         11,588.02",5603211.0,1329129.0,165758.0,43534.0,EQ
231020,Bombay Burmah Trading Corporat,BBTC,501425,2609818,"        682,562","    1,419.20","    1,182.70","          9,686.92",2397848.0,540759.0,211970.0,141803.0,EQ
231020,Bombay Dyeing And Manufacturin,BOMDYEING,500020,37419463,"      5,806,345",      164.30,      156.95,"          9,539.82",35390638.0,5479033.0,2028825.0,327312.0,EQ
231020,Adani Total Gas Ltd.,ATGL,542066,2189272,"      1,608,452",      590.80,      591.95,"          9,502.73",2119632.0,1574393.0,69640.0,34059.0,EQ
231020,Varun Beverages Ltd.,VBL,540180,1746654,"      1,014,663",      926.20,      934.60,"          9,397.81",1706260.0,1000720.0,40394.0,13943.0,EQ
231020,Jindal Stainless Ltd.,JSL,532508,3219527,"      1,992,499",      469.00,      450.00,"          9,344.82",3144212.0,1966580.0,75315.0,25919.0,EQ
231020,Cera Sanitaryware Ltd.,CERA,532443,111847,"        105,014","    8,888.70","    9,091.45","          9,334.38",11047.0,4694.0,100800.0,100320.0,EQ
231020,Macrotech Developers Ltd.,LODHA,543287,1882168,"      1,123,176",      815.05,      817.00,"          9,154.45",1830050.0,1101287.0,52118.0,21889.0,EQ
231020,Rajesh Exports Ltd.,RAJESHEXPO,531500,6768738,"      2,018,252",      436.95,      447.70,"          8,818.75",6423537.0,1872516.0,345201.0,145736.0,EQ
231020,IRB Infrastructure Developers ,IRB,532947,136981890,"     24,259,802",       35.20,       35.35,"          8,539.45",128678046.0,22930532.0,8303844.0,1329270.0,EQ
231020,Ircon International Ltd.,IRCON,541956,27977421,"      5,430,079",      154.55,      153.90,"          8,392.19",25607876.0,4809897.0,2369545.0,620182.0,EQ
231020,Rail Vikas Nigam Ltd.,RVNL,542649,18688350,"      4,918,098",      168.25,      166.75,"          8,274.70",17925748.0,4731658.0,762602.0,186440.0,EQ
231020,Jai Corp Ltd.,JAICORPLTD,512237,7641165,"      2,498,567",      328.10,      364.55,"          8,197.80",7102644.0,2248593.0,538521.0,249974.0,EQ
231020,Indian Railway Finance Corpora,IRFC,543257,40789842,"     10,088,653",       77.05,       77.60,"          7,773.31",34571282.0,8237475.0,6218560.0,1851178.0,EQ
231020,RattanIndia Power Ltd.,RTNPOWER,533122,281755189,"    103,050,217",        7.30,        7.60,"          7,522.67",185460673.0,63958530.0,96294516.0,39091687.0,EQ
231020,Housing & Urban Development Co,HUDCO,540530,24426244,"      9,688,845",       77.40,       79.00,"          7,499.17",22263214.0,9015071.0,2163030.0,673774.0,EQ
231020,Chennai Petroleum Corporation ,CHENNPETRO,500110,4375499,"      1,357,578",      544.10,      597.90,"          7,386.58",4079432.0,1235527.0,296067.0,122051.0,EQ
231020,Tube Investments of India Ltd.,TIINDIA,540762,330046,"        241,324","    3,026.15","    2,961.50","          7,302.83",327557.0,240039.0,2489.0,1285.0,EQ
231020,Gulf Oil Lubricants India Ltd.,GULFOILLUB,538567,1273436,"      1,251,479",      567.30,      567.05,"          7,099.64",37315.0,18019.0,1236121.0,1233460.0,EQ
231020,Jindal Saw Ltd.,JINDALSAW,500378,2909854,"      1,615,421",      397.15,      395.95,"          6,415.64",2824561.0,1575456.0,85293.0,39965.0,EQ
231020,,SETFGOLD,,12120642,"     11,931,287",       53.14,       52.27,"          6,340.29",12120642.0,11931287.0,0.0,0.0,EQ
231020,Ion Exchange (India) Ltd.,IONEXCHANG,500214,1773229,"        962,167",      654.45,      607.50,"          6,296.90",1734045.0,950023.0,39184.0,12144.0,EQ
231020,Adani Power Ltd.,ADANIPOWER,533096,3730791,"      1,803,760",      338.30,      344.45,"          6,102.12",3464389.0,1737499.0,266402.0,66261.0,EQ
231020,Union Bank Of India,UNIONBANK,532477,16333114,"      6,002,557",      101.15,      102.50,"          6,071.59",14709256.0,5377107.0,1623858.0,625450.0,EQ
231020,Bank Of Maharashtra,MAHABANK,532525,39887608,"     13,764,333",       43.80,       45.75,"          6,028.78",37262385.0,13011502.0,2625223.0,752831.0,EQ
231020,Sonata Software Ltd.,SONATSOFTW,532221,963727,"        542,200","    1,111.60","    1,104.85","          6,027.10",931412.0,529312.0,32315.0,12888.0,EQ
231020,Equitas Small Finance Bank Ltd,EQUITASBNK,543243,11869192,"      5,903,239",      100.30,       98.60,"          5,920.95",11062113.0,5451472.0,807079.0,451767.0,EQ
231020,PB Fintech Ltd.,POLICYBZR,543390,1018828,"        812,563",      724.35,      735.75,"          5,885.80",1004014.0,807779.0,14814.0,4784.0,EQ
231020,CG Power and Industrial Soluti,CGPOWER,500093,4857506,"      1,486,402",      394.25,      380.40,"          5,860.14",4679204.0,1418862.0,178302.0,67540.0,EQ
231020,,SETFNIF50,,3037897,"      2,853,440",      203.32,      204.86,"          5,801.61",3037897.0,2853440.0,0.0,0.0,EQ
231020,Tata Elxsi Ltd.,TATAELXSI,500408,132969,"         72,265","    7,564.40","    7,704.05","          5,466.41",119490.0,63896.0,13479.0,8369.0,EQ
231020,Railtel Corporation Of India L,RAILTEL,543265,8965558,"      2,315,706",      235.00,      233.05,"          5,441.91",8135226.0,2014442.0,830332.0,301264.0,EQ
231020,Suzlon Energy Ltd.,SUZLON,532667,383053231,"    383,053,231",       32.50,       31.60,"        124,492.30",373269936.0,373269936.0,9783295.0,9783295.0,BE
231020,RattanIndia Power Ltd.,RTNPOWER,533122,281755189,"    103,050,217",        7.30,        7.60,"          7,522.67",185460673.0,63958530.0,96294516.0,39091687.0,EQ
231020,Yes Bank Ltd.,YESBANK,532648,305691947,"     75,836,279",       17.30,       17.05,"         13,119.68",242605105.0,57964428.0,63086842.0,17871851.0,EQ
231020,Jaiprakash Power Ventures Ltd.,JPPOWER,532627,148615231,"     43,751,234",        9.70,        9.95,"          4,243.87",115338279.0,36072543.0,33276952.0,7678691.0,EQ
231020,NBCC (India) Ltd.,NBCC,534309,170495316,"     31,544,907",       68.50,       70.75,"         21,608.26",158772161.0,29032493.0,11723155.0,2512414.0,EQ
231020,Zomato Ltd.,ZOMATO,543320,68933445,"     29,890,321",      113.35,      111.65,"         33,880.68",64427436.0,28006387.0,4506009.0,1883934.0,EQ
231020,SJVN Ltd.,SJVN,533206,58424678,"     29,572,913",       75.35,       74.90,"         22,283.19",55365013.0,28218765.0,3059665.0,1354148.0,EQ
231020,NMDC Steel Ltd.,NSLNISP,543768,55135115,"     27,254,635",       43.90,       49.85,"         11,964.78",49967612.0,25126445.0,5167503.0,2128190.0,EQ
231020,Himachal Fibres Ltd.,,514010,26918197,"     26,918,197",       14.99,       14.70,"          4,035.04",0.0,0.0,26918197.0,26918197.0,XT
231020,IRB Infrastructure Developers ,IRB,532947,136981890,"     24,259,802",       35.20,       35.35,"          8,539.45",128678046.0,22930532.0,8303844.0,1329270.0,EQ
231020,Motherson Sumi Wiring India Lt,MSUMI,543498,23811017,"     22,578,034",       63.05,       63.85,"         14,235.45",2397164.0,1211291.0,21413853.0,21366743.0,EQ
231020,GVK Power & Infrastructure Ltd,GVKPIL,532708,21782610,"     21,782,610",        8.80,        8.40,"          1,916.87",9718342.0,9718342.0,12064268.0,12064268.0,BE
231020,Jaiprakash Associates Ltd.,JPASSOCIAT,532532,61441826,"     21,381,976",       12.85,       13.55,"          2,747.58",52283873.0,18681123.0,9157953.0,2700853.0,EQ
231020,MMTC Ltd.,MMTC,513377,61387591,"     18,311,583",       63.55,       70.60,"         11,637.01",54655222.0,15922555.0,6732369.0,2389028.0,EQ
231020,The South Indian Bank Ltd.,SOUTHBANK,532218,61860515,"     16,732,754",       26.00,       26.20,"          4,350.52",52885895.0,14231981.0,8974620.0,2500773.0,EQ
231020,Reliance Power Ltd.,RPOWER,532939,77521047,"     14,568,377",       18.50,       18.65,"          2,695.15",63826654.0,11314769.0,13694393.0,3253608.0,EQ
231020,SEPC Ltd.,SEPC,532945,22350960,"     14,071,508",       19.15,       20.10,"          2,694.69",20461785.0,12870417.0,1889175.0,1201091.0,EQ
231020,Bank Of Maharashtra,MAHABANK,532525,39887608,"     13,764,333",       43.80,       45.75,"          6,028.78",37262385.0,13011502.0,2625223.0,752831.0,EQ
231020,,SETFGOLD,,12120642,"     11,931,287",       53.14,       52.27,"          6,340.29",12120642.0,11931287.0,0.0,0.0,EQ
231020,Hindustan Construction Company,HCC,500185,31934135,"     11,578,768",       27.80,       28.60,"          3,218.90",28743375.0,10787319.0,3190760.0,791449.0,EQ
231020,Indian Railway Finance Corpora,IRFC,543257,40789842,"     10,088,653",       77.05,       77.60,"          7,773.31",34571282.0,8237475.0,6218560.0,1851178.0,EQ
231020,Housing & Urban Development Co,HUDCO,540530,24426244,"      9,688,845",       77.40,       79.00,"          7,499.17",22263214.0,9015071.0,2163030.0,673774.0,EQ
231020,Central Bank Of India,CENTRALBK,532885,40204757,"      9,338,913",       46.85,       47.00,"          4,375.28",36770400.0,8556201.0,3434357.0,782712.0,EQ
231020,Bajaj Hindusthan Sugar Ltd.,BAJAJHIND,500032,24866711,"      8,251,283",       26.30,       26.50,"          2,170.09",21455062.0,7214502.0,3411649.0,1036781.0,EQ
231020,Brightcom Group Ltd.,BCG,532368,12155775,"      7,774,874",       16.60,       16.95,"          1,290.63",9909220.0,6458088.0,2246555.0,1316786.0,EQ
231020,NHPC Ltd.,NHPC,533098,13918347,"      7,427,629",       51.50,       52.05,"          3,825.23",13047711.0,7129677.0,870636.0,297952.0,EQ
231020,JIO Financial Services,JIOFIN,543940,12598190,"      7,391,588",      214.20,      214.20,"         15,832.78",11101464.0,6562815.0,1496726.0,828773.0,EQ
231020,Dish TV India Ltd.,DISHTV,532839,20629393,"      6,750,247",       17.55,       17.90,"          1,184.67",19339672.0,6381707.0,1289721.0,368540.0,EQ
231020,Infibeam Avenues Ltd.,INFIBEAM,539807,18673254,"      6,727,862",       20.20,       20.50,"          1,359.03",15601502.0,5881569.0,3071752.0,846293.0,EQ
231020,IFCI Ltd.,IFCI,500106,30609194,"      6,621,752",       23.50,       24.05,"          1,556.11",25573223.0,5550614.0,5035971.0,1071138.0,EQ
231020,HFCL Ltd.,HFCL,500183,14447770,"      6,530,235",       68.85,       73.00,"          4,496.07",12781867.0,5652403.0,1665903.0,877832.0,EQ
231020,Indian Overseas Bank,IOB,532388,37643537,"      6,445,472",       40.50,       41.55,"          2,610.42",34558910.0,5866234.0,3084627.0,579238.0,EQ
231020,UCO Bank,UCOBANK,532505,25295329,"      6,368,025",       38.40,       39.60,"          2,445.32",22724052.0,5830678.0,2571277.0,537347.0,EQ
231020,,GOLDSHARE,,6128176,"      6,094,821",       51.55,       51.15,"          3,141.88",6128176.0,6094821.0,0.0,0.0,EQ
231020,IDBI Bank Ltd.,IDBI,500116,12607132,"      6,060,156",       66.95,       68.50,"          4,057.27",10865258.0,5048397.0,1741874.0,1011759.0,EQ
231020,Union Bank Of India,UNIONBANK,532477,16333114,"      6,002,557",      101.15,      102.50,"          6,071.59",14709256.0,5377107.0,1623858.0,625450.0,EQ
231020,Equitas Small Finance Bank Ltd,EQUITASBNK,543243,11869192,"      5,903,239",      100.30,       98.60,"          5,920.95",11062113.0,5451472.0,807079.0,451767.0,EQ
231020,Alok Industries Ltd.,ALOKINDS,521070,17343847,"      5,869,678",       19.40,       20.00,"          1,138.72",14323122.0,4936121.0,3020725.0,933557.0,EQ
231020,Easy Trip Planners Ltd.,EASEMYTRIP,543272,10340380,"      5,831,102",       40.10,       41.05,"          2,338.27",9021096.0,5229689.0,1319284.0,601413.0,EQ
231020,Bombay Dyeing And Manufacturin,BOMDYEING,500020,37419463,"      5,806,345",      164.30,      156.95,"          9,539.82",35390638.0,5479033.0,2028825.0,327312.0,EQ
231020,MSP Steel & Power Ltd.,MSPL,532650,5536711,"      5,536,711",       20.50,       20.10,"          1,135.03",427261.0,427261.0,5109450.0,5109450.0,BE
