,Date,Company Name,NSE_Code,BSE_Code,Total_Volume,Total_Delivery,Price,PrevClose,Total_Traded_Value,NSE_Volume,NSE_Delivery,BSE_Volume,BSE_Delivery,Segment
90,230210,Upsurge Seeds Of Agriculture L,USASEEDS,,67200,"         56,400",      742.75,      707.40,            418.91,67200.0,56400.0,0.0,0.0,SM
124,230210,Taylormade Renewables Ltd.,541228,541228,620000,"        428,000",       94.90,       90.40,            406.17,0.0,0.0,620000.0,428000.0,M 
172,230210,Rhetan TMT Ltd.,543590,543590,70000,"         32,000",      405.25,      386.20,            129.68,0.0,0.0,70000.0,32000.0,M 
111,230210,Waaree Technologies Ltd.,539337,539337,91000,"         77,000",      150.35,      163.75,            115.77,0.0,0.0,91000.0,77000.0,M 
99,230210,Bodhi Tree Multimedia Ltd.,BTML,543767,96000,"         72,000",      147.95,      146.50,            106.52,96000.0,72000.0,0.0,0.0,SM
191,230210,Droneacharya Aerial Innovation,543713,543713,124000,"         66,000",      156.25,      148.85,            103.12,0.0,0.0,124000.0,66000.0,M 
37,230210,Homesfy Realty Ltd.,HOMESFY,,20400,"         17,400",      588.65,      619.60,            102.43,20400.0,17400.0,0.0,0.0,SM
145,230210,Knowledge Marine & Engineering,543273,543273,12000,"          8,250","    1,202.90","    1,159.70",             99.24,0.0,0.0,12000.0,8250.0,M 
63,230210,Shree Oswal Seeds and Chemical,OSWALSEEDS,,42000,"         28,000",      324.95,      309.50,             90.99,42000.0,28000.0,0.0,0.0,SM
32,230210,Frog Cellsat Ltd.,FROG,,50000,"         45,200",      197.90,      204.30,             89.45,50000.0,45200.0,0.0,0.0,SM
171,230210,Veerkrupa Jewellers Ltd.,543545,543545,120000,"         66,000",      133.15,      129.35,             87.88,0.0,0.0,120000.0,66000.0,M 
92,230210,Vital Chemtech Ltd.,VITAL,,87600,"         75,600",      107.60,      105.90,             81.35,87600.0,75600.0,0.0,0.0,SM
198,230210,Gensol Engineering Ltd.,GENSOL,542851,10488,"          7,752",      960.90,      953.85,             74.49,0.0,0.0,10488.0,7752.0,M 
3,230210,All E Technologies Ltd.,ALLETEC,,72000,"         57,600",      117.15,      113.90,             67.48,72000.0,57600.0,0.0,0.0,SM
161,230210,Quality RO Industries Ltd.,543460,543460,132000,"         62,000",      107.80,      106.55,             66.84,0.0,0.0,132000.0,62000.0,M 
197,230210,Earthstahl & Alloys Ltd.,543765,543765,99000,"         99,000",       63.60,       60.60,             62.96,0.0,0.0,99000.0,99000.0,MT
66,230210,Phantom Digital Effects Ltd.,PHANTOMFX,,30000,"         27,600",      210.00,      210.00,             57.96,30000.0,27600.0,0.0,0.0,SM
83,230210,Swastik Pipes Ltd.,SWASTIK,,63600,"         61,200",       90.50,       91.00,             55.39,63600.0,61200.0,0.0,0.0,SM
31,230210,Foce India Ltd.,FOCE,,8400,"          7,800",      678.30,      689.95,             52.91,8400.0,7800.0,0.0,0.0,SM
128,230210,Affordable Robotic & Automatio,541402,541402,15200,"         14,400",      361.95,      344.75,             52.12,0.0,0.0,15200.0,14400.0,M 
179,230210,Trident Lifeline Ltd.,543616,543616,36000,"         33,600",      151.10,      142.00,             50.77,0.0,0.0,36000.0,33600.0,M 
